objectid,filename,filename_new,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
chestnut001,acer_pensylvanicum.jpg,acer_pensylvanicum,Striped Maple Illustration,"Koenig, Nick",2022,Striped Maple Illustration,Acer pensylvanicum (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/acer_pensylvanicum.jpg,/objects/small/acer_pensylvanicum_sm.jpg,/objects/thumbs/acer_pensylvanicum_th.jpg,Striped Maple Illustration Black and White Pen,
chestnut002,acer_rubrum.jpg,acer_rubrum,Red Maple Illustration,"Koenig, Nick",2022,Red Maple Illustration,Acer rubrum (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/acer_rubrum.jpg,/objects/small/acer_rubrum_sm.jpg,/objects/thumbs/acer_rubrum_th.jpg,Red Maple Illustration Black and White Pen,
chestnut003,acer_saccharum.jpg,acer_saccharum,Sugar Maple Illustration,"Koenig, Nick",2022,Sugar Maple Illustration,Acer saccharum (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/acer_saccharum.jpg,/objects/small/acer_saccharum_sm.jpg,/objects/thumbs/acer_saccharum_th.jpg,Sugar Maple Illustration Black and White Pen,
chestnut004,athyrium_filix-femina.jpg,athyrium_filix-femina,Lady Fern Illustration,"Koenig, Nick",2022,Lady Fern Illustration,Athyrium filix-femina (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/athyrium_filix-femina.jpg,/objects/small/athyrium_filix-femina_sm.jpg,/objects/thumbs/athyrium_filix-femina_th.jpg,Lady Fern Illustration Black and White Pen,
chestnut005,atrichum_angustatum.jpg,atrichum_angustatum,Lesser Smoothcap Moss Illustration,"Koenig, Nick",2022,Lesser Smoothcap Moss Illustration,Atrichum angustatum (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/atrichum_angustatum.jpg,/objects/small/atrichum_angustatum_sm.jpg,/objects/thumbs/atrichum_angustatum_th.jpg,Lesser Smoothcap Moss Illustration Black and White Pen,
chestnut006,betula_lenta.jpg,betula_lenta,Sweet Birch Illustration,"Koenig, Nick",2022,Sweet Birch Illustration,Betula lenta (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/betula_lenta.jpg,/objects/small/betula_lenta_sm.jpg,/objects/thumbs/betula_lenta_th.jpg,Sweet Birch Illustration Black and White Pen,
chestnut007,bignonia_capreolata.jpg,bignonia_capreolata,Crossvine Illustration,"Koenig, Nick",2022,Crossvine Illustration,Bignonia capreolata (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/bignonia_capreolata.jpg,/objects/small/bignonia_capreolata_sm.jpg,/objects/thumbs/bignonia_capreolata_th.jpg,Crossvine Illustration Black and White Pen,
chestnut008,carex_plantaginea.jpg,carex_plantaginea,Crinkle Leaf Sedge Illustration,"Koenig, Nick",2022,Crinkle Leaf Sedge Illustration,Carex plantaginea (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/carex_plantaginea.jpg,/objects/small/carex_plantaginea_sm.jpg,/objects/thumbs/carex_plantaginea_th.jpg,Crinkle Leaf Sedge Illustration Black and White Pen,
chestnut009,carya_sp.jpg,carya_sp,Hickory Illustration,"Koenig, Nick",2022,Hickory Illustration,Carya sp (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/carya_sp.jpg,/objects/small/carya_sp_sm.jpg,/objects/thumbs/carya_sp_th.jpg,Hickory Illustration Black and White Pen,
chestnut010,castanea_dentata.jpg,castanea_dentata,American Chestnut Illustration,"Koenig, Nick",2022,American Chestnut Illustration,Castanea dentata (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/castanea_dentata.jpg,/objects/small/castanea_dentata_sm.jpg,/objects/thumbs/castanea_dentata_th.jpg,American Chestnut Illustration Black and White Pen,
