timestamp,speaker,words,tags
[00:00:00],Nick Koenig (NK),"I'll I told you about the project first, I was in the, I'm gonna be transparent in this. So in our study, we're just looking at questions of human environment relations. And they were like, just like started digging, tell a story that hasn't been told. Try to tell it with people. And I was like, okay. Oh my god, like, everybody talks about extinction. But nobody talks about plant extinction, or like the lesser majority.",
,Savannah Clark (SC),Yeah.,
,NK,"And I was like, Okay, I want to, I want to learn more about this. So then, I've been interviewing people who are Appalachian or grew up in Appalachia and then who have some ties to the Chestnut whether that be from childhood, whether that be from recent years. Talk to people everywhere in between.",Mountain Culture
[00:00:49],SC,Have you got a lot of stories from people that like...,Mountain Culture
,NK,Old timers?,Mountain Culture
,SC,Old timers,Mountain Culture
,NK,Yeah.,Mountain Culture
,SC,"Oh, so cool what they remember of the Chestnuts",Mountain Culture
,NK,"So feel free to just tell me what you want to tell. Don't tell me stuff that you think I want to hear. Just tell me exactly what you feel or what you don't feel about it. But the first few questions are just like, like a background where you grew up and where you're from?",Mountain Culture
[00:01:12],SC,"Well, I grew up in Bath County, Kentucky, which is kind of like in the foothills of Appalachia, really close to Cave Run Lake and a lot of the community there is super like it's just, they love to forest, everyone it's that's part of the community in Bath County is like getting out and going to forest, going hunting, having a good time and enjoying it. But I feel like a lot of the community doesn't realize the, the conservation effort and stuff that goes into it. And that's what really drove me to go into conservation work and start like, helping out with the forests and stuff. And like, because I wanted to spread that knowledge and Bath County in general, I don't know about Chestnuts there, like I don't have I have never dug deep into like the history of Chestnuts in Bath County, but I'm sure they were there.",Mountain Culture
[00:02:06],SC,"Just a lot. Yeah. Foothills of Appalachia, a lot of country, a lot of us are country, you know, old timers have those big stories. And...",Mountain Culture
[00:02:16],NK,"I know like, imagine, I don't know you, you know",Mountain Culture
,SC,"Okay,",Mountain Culture
,NK,"Because I know some of the stories you've told me, you know, act like you never told them to me, but what did you do, like growing up? Like day to day, if you were outside of school?",Mountain Culture
[00:02:31],SC,"So, I guess. Yeah. So like, let's, let's say this summer. So I'm, in the summers, it was a lot of times I spent my time, most of my days with my nanny and my papaw at their farm back in Sharpsburg. And they, we were always just going outside and playing ,me and my brother having a good time. And they had this little plot of forest that was like right back on the corner of their property. And we always go back there, climb the trees, and just kind of explore around and see what we could find.",Mountain Culture; Exploration
[00:03:01],SC,"And it was just so like, great to be in the forest and like getting away from everything. So the forest was super, such a, such a special place and it all like inspired that curiosity in me because I wanted to find out like where, like what everything was and like what it did, and like how it played into the ecosystem. And it was just so, so fun getting to go out in the forest and learn about all that stuff.",Mountain Culture; Exploration
[00:03:33],NK,Did you know you wanted to study bio in high school?,
[00:03:35],SC,"No. In high school I wanted to, I wanted be a doctor.",
,NK,Oh really.,
,SC,"I wanted to go and be a dermatologist. And, but that time I was more, I was very, like, I don't like saying it. But I was very money hungry, at that time. I was like, Yeah, I want to get a good paying job that I can take care of myself and my entire family. But then I slowly realized, like through college like I would be miserable doing that. So I want to do something that I actually enjoy. And that's what really like when I took my first botany course, that brought me back to that curiosity that I had as a child.",Curiosity
[00:04:11],SC,"And I was like, this is it. Like I want to go into forestry and like botany and studying management and ecology now and figuring all that, figuring out those questions out that I had as a child and like actually learning in depth answers to them. So that's what drove me into forestry.",Curiosity
[00:04:31],NK,Did you learn about the Chestnuts in the botany class?,
[00:04:35],SC,"So yeah, that was the first time like I actually truly learn about like what happened to the American chestnuts. Because it wasn't like, I talked about in community, like there, everyone had Chestnut, pieces of Chestnut furniture that were like super valuable. And all this. I never really knew why they were valuable until I found out about the blight and like the extinction of the chestnut.",Community
[00:04:55],SC,"And through that, like once I started learning about the Chestnut, I was like, Oh, I really want to work like, work with this some. And that's when I started working with the American Chestnut Foundation, out of the orchards and stuff. During their workdays, I got to help them out with the Kentucky State Fair, doing like just a little info booth with them. And that was so fun.",Community
[00:05:21],NK,What did you do there?,
,SC,"So they had like a little Plinko game setup. Yeah, with Chestnuts and they would drop them and drop them in and they get a prize of it when in the right thing. And like, I was just kind of like informing everyone just like, Hey, do you know that we used to have like trees as big as the Redwoods in the East Coast. And like, we can have that again. And just trying to get kids excited to learn about Chestnuts that was like my thing there.",Excitement
[00:05:45],Nk,Why? Why did you want to get kids excited?,Excitement
[00:05:49],SC,"Because kids, they're the next generation. They're the ones that are going to carry on our efforts that we can like that we are working on now. Like, if we don't inspire that curiosity and love of nature and stewardship in them, then we're not gonna, then all of our work now is pointless. So if we don't, we gotta like, it's on the next generation to continue this on. So it's has to have to have to have them inspired.",Excitement
[00:06:21],NK,"You said furniture was Chesnut, do you have some here?",
