timestamp,speaker,words,tags,species
[00:00:00],Nick Koenig (NK),And then are you comfortable with me using your name? Or would you like to stay anonymous?,,
,Sara Fitzsimmon (SF),No you can use my name.,,
,NK,"Okay, great. Okay, awesome. And then it's okay, if I use your affiliation or would you like to keep the Chestnut Foundation out of it?",,
[00:00:12],SF,"Nope, you can, I mean, that's a big reason why I knew all chestnuts so.",,
[00:00:16],NK,"I will say like full transparency. I'm not asking like any like, even though I'm saying politically ecologies, I’m not asking any like political questions. I'm just asking for your your beliefs. I think some people think I'm getting into politics, but I'm just really looking at the emotional feeling and changes and connection to chestnut.",,
,SF,"Yeah, okay.",,
,NK,"So I would love to hear like first like, your like background of like, where you grew up. And how you ended up to where you are trying to right now?",,
[00:00:46],SF,"Yeah, sure. And it's, it's about to start pouring. So I hope this doesn't hurt your audio or your ability to hear me.",,
[00:00:52],NK,"No, I can hear you. It's totally fine. No worries.",,
,SF,All right.,,
[00:00:57],SF,"So I grew up in Southern West Virginia in a town called Hanton, West Virginia, and spent the first 18 years of my life there. Spent a lot of time hiking, playing in creeks. My papa, I told you this in the email, my papa owned farm in, between Hanton and Beckley in Summers County. We still have a that as a family farm. And my earliest chestnut memory, I have two, you know, probably late, probably 10, 11, 12, I remember my granny collecting Chinese chestnuts from trees from up on the farm, out at the farm, but most of the farm and also at a camp that we have along the New River.",Mountain Culture,
[00:01:42],SF,"So my papa had planted Chinese chestnuts as part of the West Virginia Department of Agriculture's attempts to replace the American Chestnut. Now, I didn't know anything about the American Chestnut at that time, I just don't have now in retrospect know that, that's why I had those Chinese chestnuts on as farm and why he planting them out at camp those those trees are still there.",Mountain Culture,
[00:02:03],SF,"But granny would collect those Chinese chestnuts and I remember hearing crunchy from a bowl of chestnuts on the counter, which were weevils eating the nuts, and I will never forget that sound. And I'm like, Granny, why would you? Why would you eat that and she would just say ‘I just cut it away’ you know, she cuts away all the bad parts and throws the worms away and you just eat the chestnuts you know, regardless.",Mountain Culture,
[00:02:28],SF,"And that's one of my earliest memories of chestnuts themselves. And then my papa, who was a product of the Depression, he hoarded everything. And including, so he taught in one room schoolhouses and Summers County, before he became a superintendent of schools for the county later in his career. But through the 30s and 40s, he taught in one room schoolhouses. He wrote a book actually on the history of one room schoolhouses in Summers County. But as they were starting to tear down those old one room schoolhouses in the 80s 90s, and well, 80s and 90s. He died early in the 1000s. He would collect all the wood but primarily the chestnut that made up those one room schoolhouses.",Mountain Culture,
[00:03:15],SF,"And the house that I grew up in the basement was paneled. And some of that wormy chestnut that papa had salvaged from those old one room school houses. So I knew that as a story from him, it was a big part of his life. And he passed away before I could really sort of interrogate even more about his connection with the tree. I just knew that he, he had a big connection to it because of his farming upbringing, upbringing, and was really concerned about it. He loved the work that I was doing. His my work only overlapped about two years with him before he died. I just remember him being really excited and hoping that I would plant trees up on the farm when we got blight resistant trees. And that's, that's still my intention. My uncle Charlie still has that farm and we go up there regularly. So at some point in the near future, I want to plant you know, a nice little grove up there and his honor and for the family.",Mountain Culture; Love; Nostalgia,
[00:04:14],NK,"Oh, that's amazing. Do you know which of the restored chestnut that you want to plant? Do you want to do like the transgenomic one or the backcross breed one?",,
[00:04:29],SF,"Well, because I'm doing both.",,
,NK,"Okay, gotcha, gotcha.",,
,SF,"And I have a direct line to get whatever material I want. Then I know my intention is, so the person who is in the car with me, he and I work at Penn State for the Chestnut Foundation and last year was the first year that we put transgenic pollen on our best backcross trees at the arboretum at Penn State. So we've got what's called stack resistance. We're going to test them this summer through a small stem assay and see if that if there really is increased resistance by adding the backcross in with the transgenic tree.",,
[00:05:08],SF,"I have strong excuse me strong hope that that will that will be even better than the transgenic on its own or the backcross trees on its own. So that's ultimately what I'd like to plant it down there is stuff that we ended up making and that turns out really good. You know, we have some really good backcross trees. If if the transgenic doesn't get deregulated, and I'm more than happy to plant, you know, the backcross stuff that we've been making, we have some really nice selections that I, I wouldn't mind playing down there at all.",Hope,
[00:05:39],NK,"Gotcha. One of the questions I've been asking people is, to what extent do you want to see people planting the restored chestnut? As in on a very small scale in their front yards, or do you want? Would you like to see personally, people going out into the forest and planting it and restoring it? Or where do you fall on?",,
